timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
1746732652.416638,-3904.358017964127,-3585.3986245868955,-3452.2716346110865,-3357.7237555651377,-41520.779314134044,2657.3318430580907,-54614.721788730836,-40736.054269797125,-3338.545958822484,-3453.6574427673154,-3670.312901772607,-3799.237763790818,-44080.09875775561,-32238.39041452294,-44680.75718650308,-70794.38964061614
1746732652.4166963,-6573.692747794717,-7064.022965910789,-6937.243871360287,-6893.725024905804,-83100.14255048544,5314.417816927174,-109426.54126006858,-81856.51384073662,-6508.738578407595,-6423.153748888225,-6618.507995427608,-6254.308671272835,-87420.91356765194,-63746.3928754798,-87892.22245123655,-139348.35217575458
1746732652.4167051,-7495.948075765143,-7177.681586466025,-6908.410121012941,-6788.515363754674,-83012.83663664301,5314.216651227075,-109255.14808358529,-81582.86143337029,-6254.934520117584,-6239.020078065405,-6568.753012270095,-6303.258991629958,-87248.40280394588,-63734.1441195183,-87935.76364943548,-139414.40158062
1746732652.4167132,-6674.0073769101355,-7067.5768932791825,-6937.065057404645,-6876.670643886405,-83104.07645750958,5315.468348916573,-109414.38191108489,-81823.23209324267,-6539.449875289188,-6444.99140322106,-6634.869472368893,-6263.249369054958,-87433.40819280245,-63746.32582024644,-87882.96882903205,-139337.86920760505
1746732652.4167209,-7386.737452356512,-7176.385185287618,-6913.79689142667,-6812.856413466503,-83012.97074710975,5316.42947392815,-109270.25786283707,-81621.6640617447,-6231.576947161788,-6222.748008101941,-6556.01251793057,-6297.179317138114,-87243.32895795452,-63737.78745386451,-87946.62659724077,-139423.02935397977
1746732652.416728,-6797.724282470261,-7073.030718926278,-6934.18168236991,-6855.4364866538635,-83102.86946330899,5314.998962283011,-109394.89118991986,-81780.80848226648,-6560.035831932525,-6459.497685372554,-6648.973423120192,-6273.464116271033,-87439.71138473885,-63746.10230280189,-87876.12919522873,-139330.5378354237
1746732652.4167354,-7252.3587646912065,-7168.629129961626,-6916.993190883779,-6836.348096889031,-83013.93187212132,5316.0047907835,-109287.78163049003,-81664.73587331008,-6215.103711498226,-6210.767473073897,-6542.288546835011,-6286.495183288477,-87241.04908002008,-63738.12273003134,-87951.67809148766,-139424.97395574738
1746732652.4167426,-6939.99313592829,-7082.127878919588,-6931.074789890622,-6833.35296313202,-83099.3602394295,5314.708389605092,-109372.47239023118,-81734.51801949955,-6570.071765192958,-6466.672595342708,-6660.50692325913,-6285.288189087891,-87440.42664056142,-63746.63874466882,-87872.82113704934,-139327.65446038896
1746732652.41675,-7106.223059442408,-7158.660251934559,-6921.731760708304,-6860.778553578682,-83018.82690415703,5316.3624186947845,-109309.32871214494,-81711.60748143286,-6209.448720151034,-6206.8782695386735,-6530.9562123961705,-6273.866447671229,-87244.29008296611,-63737.541584675506,-87952.52745777696,-139422.3140981572
1746732652.416757,-7094.68955930347,-7098.534059349783,-6932.415894557941,-6816.365637345986,-83098.17559697338,5319.29049721843,-109352.89226208834,-81691.73678061209,-6569.602378559396,-6466.717298831618,-6669.2464553411555,-6298.296904360879,-87436.20216085938,-63748.516291203065,-87873.87166903874,-139329.71082087886
1746732652.4167645,-6960.154409426977,-7149.205464029964,-6929.80074045667,-6887.041853313667,-83029.77925894014,5319.782235596447,-109336.39667468032,-81761.87655471284,-6223.217394735503,-6218.367066188702,-6531.403247285277,-6269.373747035712,-87261.76914713015,-63744.26945975655,-87958.29420784644,-139424.1022377136
